title,subtype,status,image,epCount,rating,userCount,synopsis,genre
Attack on Titan The Final Season,TV,finished,https://media.kitsu.io/anime/poster_images/42422/large.jpg?1607339776,16,86.91,35464,"4 years after the Survey Corps reached the shore beyond the walls, Falco Grice and Gabi Braun are among Marley's ""Warrior Candidates"" who wish to inherit the power of the Titans. After emerging victorious in a hard-fought war, they continue their military training when Marley shifts its focus on invading Paradis once again. Nevertheless, in the midst of this announcement, Reiner has an unexpected encounter with a key person from his past... one who brings along terror and chaos.

(Source: Anime News Network)",['none']
Kimetsu no Yaiba,TV,finished,https://media.kitsu.io/anime/poster_images/41370/large.jpg?1597699092,26,85.75,154320,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.

(Source: Crunchyroll)",['none']
Kimetsu no Yaiba: Mugen Ressha-hen,movie,finished,https://media.kitsu.io/anime/poster_images/42586/large.jpg?1603823890,1,85.49,34535,The movie adaptation of the Infinity Train arc.,['none']
Attack on Titan Season 3 Part 2,TV,finished,https://media.kitsu.io/anime/poster_images/41982/large.jpg?1597696872,10,85.17,107705,"Hoping to retake Wall Maria and find the answers humanity seeks in Grisha's basement, Eren, Mikasa, Armin, and the rest of the Scout Regiment return to the town where everything began: Shiganshina.

(Source: Anime News Network)",['none']
Jujutsu Kaisen,TV,finished,https://media.kitsu.io/anime/poster_images/42765/large.jpg?1619890522,24,85.17,20446,"Yuji Itadori is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a classmate who has been attacked by curses, he eats the finger of Ryomen Sukuna, taking the curse into his own soul. From then on, he shares one body with Ryomen Sukuna. Guided by the most powerful of sorcerers, Satoru Gojo, Itadori is admitted to Tokyo Jujutsu High School, an organization that fights the curses... and thus begins the heroic tale of a boy who became a curse to exorcise a curse, a life from which he could never turn back.

(Source: Crunchyroll)",['none']
Attack on Titan,TV,finished,https://media.kitsu.io/anime/poster_images/7442/large.jpg?1597698856,25,84.84,350376,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations.

After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Based on Hajime Isayama's award-winning manga, Shingeki no Kyojin follows Eren, along with his adopted sister Mikasa Ackerman and his childhood friend Armin Arlert, as they join the brutal war against the titans and race to discover a way of defeating them before the last walls are breached.

(Source: MAL Rewrite)","['mystery', 'super-power', 'military', 'fantasy', 'drama', 'action']"
Boku no Hero Academia 3,TV,finished,https://media.kitsu.io/anime/poster_images/13881/large.jpg?1597698784,25,84.81,282271,Third season of Boku no Hero Academia.,"['comedy', 'super-power', 'school', 'action']"
Boku no Hero Academia 2,TV,finished,https://media.kitsu.io/anime/poster_images/12268/large.jpg?1597699083,25,84.8,314258,"At U.A. Academy, not even a violent attack can disrupt their most prestigious event: the school sports festival. Renowned across Japan, this festival is an opportunity for aspiring heroes to showcase their abilities, both to the public and potential recruiters.

However, the path to glory is never easy, especially for Izuku Midoriya—whose quirk possesses great raw power but is also cripplingly inefficient. Pitted against his talented classmates, such as the fire and ice wielding Shouto Todoroki, Izuku must utilize his sharp wits and master his surroundings to achieve victory and prove to the world his worth.

(Source: MAL)","['comedy', 'super-power', 'school', 'action']"
Boku no Hero Academia 5,TV,ongoing,https://media.kitsu.io/anime/poster_images/43108/large.jpg?1613521741,25,84.73,5654,Fifth season of Boku no Hero Academia.,['none']
Boku no Hero Academia,TV,finished,https://media.kitsu.io/anime/poster_images/11469/large.jpg?1597698779,13,84.58,325631,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual.

Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor!

Enduring many months of grueling training, Izuku enrolls in U.A. High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.

(Source: MAL)","['comedy', 'super-power', 'school', 'action']"
